,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC
ENSG00000168685,3.0381691,15.037829,small,mid
ENSG00000072818,0.39744553,1.220249,small,mid
ENSG00000128923,0.37710887,1.1895195,small,mid
ENSG00000256039,1.058906,8.430693,small,mid
ENSG00000200502,0.8528608,15.730211,small,mid
ENSG00000253824,0.48786724,12.109175,small,mid
ENSG00000172349,1.04196,11.459409,small,large
ENSG00000066336,0.6642886,2.3575222,small,mid
ENSG00000102879,0.4725163,12.828857,small,large
ENSG00000131378,1.57919,8.458765,small,mid
ENSG00000177453,2.7717853,15.222796,small,mid
ENSG00000170425,0.2748403,1.2808411,small,mid
ENSG00000111087,0.25237292,4.3644443,small,mid
ENSG00000118308,0.33793718,3.9879336,small,mid
ENSG00000254777,0.19198085,6.692396,small,mid
ENSG00000112799,1.005507,9.404235,small,mid
ENSG00000221887,0.5472144,7.1025567,small,large
ENSG00000131401,0.76170176,4.0444717,small,large
ENSG00000204815,0.411584,3.3312216,small,mid
ENSG00000108639,0.6285798,3.2350762,small,mid
ENSG00000137166,0.5106504,4.6090226,small,mid
ENSG00000113296,0.2641127,17.780336,small,mid
ENSG00000178878,0.7475398,6.269719,small,mid
ENSG00000227124,1.0900673,13.108952,small,mid
ENSG00000264773,0.7947802,6.840433,small,mid
ENSG00000255639,0.2789542,9.160633,small,mid
ENSG00000154822,3.472091,6.5307965,small,mid
ENSG00000168386,2.412417,11.627057,small,mid
ENSG00000261114,0.35313976,2.4667459,small,mid
ENSG00000245479,0.23457077,2.427804,small,mid
ENSG00000105963,1.7320912,3.321062,small,mid
ENSG00000142675,2.862249,5.5337095,small,mid
ENSG00000010310,0.6069721,4.2945647,small,large
ENSG00000136938,1.3211393,12.567913,small,mid
ENSG00000011405,0.27971774,5.928573,small,mid
ENSG00000072110,0.4035432,8.652552,small,large
ENSG00000112149,0.42993888,4.3172503,small,mid
ENSG00000110455,1.0302136,2.0954483,small,mid
ENSG00000146555,0.28918865,16.654778,small,mid
ENSG00000000938,1.2225058,4.75136,small,mid
ENSG00000171488,0.28670302,18.929502,small,mid
ENSG00000105639,0.35762557,2.6312482,small,mid
ENSG00000111145,0.29342097,5.276883,small,mid
ENSG00000078687,0.35779244,8.475383,small,large
ENSG00000243811,0.4480909,2.0166128,small,mid
ENSG00000115902,2.0003402,9.608474,small,mid
ENSG00000137507,0.96210676,2.6524823,small,mid
ENSG00000253250,0.3543758,5.835325,small,mid
ENSG00000234494,0.18512881,2.901095,small,mid
ENSG00000146072,0.7891658,7.3135657,small,mid
ENSG00000235989,0.7838925,1.4182338,small,mid
ENSG00000154655,0.19938934,4.4126296,small,mid
ENSG00000187091,1.7198807,7.225442,small,mid
ENSG00000181458,1.0430852,8.786153,small,mid
ENSG00000108669,0.88828117,9.978985,small,large
ENSG00000132510,1.0346848,4.0220366,small,large
ENSG00000273145,0.43655297,3.6006784,small,mid
ENSG00000104490,0.3897091,6.244234,small,mid
ENSG00000107738,1.0196948,2.0301259,small,mid
ENSG00000135426,0.5422334,5.0282216,small,mid
ENSG00000164659,0.47682703,18.565697,small,mid
ENSG00000136305,0.91643655,2.5942273,small,mid
ENSG00000196126,0.49133393,3.85626,small,mid
ENSG00000168394,1.5849935,5.0572677,small,mid
ENSG00000170004,0.31848985,7.544107,small,large
ENSG00000169442,0.24354047,4.1056385,small,mid
ENSG00000120860,0.28891245,5.7793827,small,mid
ENSG00000114166,0.6568959,6.8201575,small,mid
ENSG00000139192,0.2067371,3.9585965,small,mid
ENSG00000101017,0.5828547,3.8074524,small,mid
ENSG00000272369,1.7304823,7.423714,small,mid
ENSG00000165025,0.67032886,4.692813,small,mid
ENSG00000283674,0.8664854,4.252063,small,mid
ENSG00000184979,0.02856661,2.4566956,small,mid
ENSG00000275004,0.30208305,11.324993,small,large
ENSG00000104921,0.8431775,5.567346,small,large
ENSG00000186026,0.28832603,3.9111032,small,large
ENSG00000100298,0.67188835,2.4811392,small,mid
ENSG00000125657,0.49286354,7.1315446,small,large
ENSG00000005844,0.62423563,7.2936354,small,large
ENSG00000114812,0.26328924,12.049867,small,mid
ENSG00000185043,0.35489568,4.8393264,small,large
ENSG00000175600,0.25526494,10.434286,small,mid
ENSG00000181007,0.58940405,1.2192253,small,mid
ENSG00000101336,0.8551072,7.697012,small,large
ENSG00000057019,0.37218574,17.116043,small,mid
ENSG00000185518,0.2884656,10.596719,small,large
ENSG00000165997,0.025000544,3.2783709,small,mid
ENSG00000135318,0.51438445,9.860935,small,mid
ENSG00000166924,0.4531487,5.0294614,small,mid
ENSG00000159110,0.35969135,1.262934,small,mid
ENSG00000182986,0.04208932,5.15855,small,large
ENSG00000152457,0.91523015,2.4623246,small,mid
ENSG00000285816,0.16705385,5.2202344,small,mid
ENSG00000133639,1.4218769,37.045467,small,large
ENSG00000196132,0.6321239,7.3208747,small,large
ENSG00000231671,3.2455943,6.3304243,small,mid
ENSG00000205476,0.57069623,5.5215664,small,large
ENSG00000103089,0.9894275,4.0393867,small,large
ENSG00000180720,0.24052107,1.7042912,small,mid
ENSG00000129194,0.5707225,1.2432591,small,mid
ENSG00000082293,0.543591,13.603411,small,mid
ENSG00000145246,0.6425075,4.5243063,small,mid
ENSG00000269720,0.2093356,0.98209,small,mid
ENSG00000115295,2.4205134,19.089314,small,mid
ENSG00000115138,0.42553857,7.07906,small,mid
ENSG00000136237,1.0703135,7.464885,small,mid
ENSG00000156050,0.5845543,2.2830906,small,mid
ENSG00000069974,0.34503442,8.493924,small,large
ENSG00000177105,0.41012558,1.9255284,small,mid
ENSG00000235621,0.23078726,1.559871,small,mid
ENSG00000168785,0.971134,18.952814,small,mid
ENSG00000198937,0.8937498,3.2870877,small,mid
ENSG00000136279,0.34940785,8.94283,small,mid
ENSG00000234883,0.75471056,3.4133604,small,mid
ENSG00000157353,0.35943672,4.862583,small,large
ENSG00000020633,0.29543507,6.748918,small,mid
ENSG00000196092,0.25079358,7.4544997,small,mid
ENSG00000229839,0.78806436,10.288983,small,mid
ENSG00000246792,0.38018456,16.695274,small,large
ENSG00000118407,0.7978992,9.27538,small,mid
ENSG00000162511,3.5597444,8.578527,small,mid
ENSG00000140853,0.26246366,8.619303,small,large
ENSG00000279570,0.811988,1.290506,small,mid
ENSG00000200156,0.39400795,3.5121133,small,mid
ENSG00000113441,0.3644693,14.416758,small,mid
ENSG00000165914,0.24859184,6.121525,small,large
ENSG00000259479,0.8228098,8.017938,small,large
ENSG00000169193,0.27640954,7.557842,small,mid
ENSG00000105499,0.37005562,2.4184363,small,mid
ENSG00000181031,0.35389665,7.901254,small,large
ENSG00000271933,0.32230878,1.9488193,small,mid
ENSG00000134061,6.118472,14.461745,small,mid
ENSG00000147649,1.1256938,12.661003,small,mid
ENSG00000159307,0.6557206,2.5143404,small,mid
ENSG00000175779,0.36491188,12.625583,small,large
ENSG00000072840,1.1395707,7.717495,small,mid
ENSG00000261471,0.3455755,2.0253584,small,mid
ENSG00000100600,0.6024274,9.782618,small,large
ENSG00000140443,0.39183927,3.0707862,small,mid
ENSG00000260641,0.971134,18.952814,small,mid
ENSG00000206028,0.54634017,3.3649497,small,mid
ENSG00000100979,0.42439407,3.45155,small,mid
ENSG00000196843,1.2608106,6.754916,small,mid
ENSG00000069020,3.6852503,27.075,small,mid
ENSG00000251002,0.7787551,13.648136,small,large
ENSG00000059915,0.6777283,2.6178582,small,mid
ENSG00000078900,0.49906194,6.132248,small,mid
ENSG00000250519,0.49895182,2.0505335,small,mid
ENSG00000095383,0.6899406,9.782766,small,mid
ENSG00000127084,1.0861871,10.335796,small,mid
ENSG00000169403,1.0632086,4.556183,small,mid
ENSG00000156968,0.8744795,11.32365,small,large
ENSG00000129214,0.22898571,7.1547694,small,large
ENSG00000012779,0.53154325,10.347507,small,large
ENSG00000111679,0.4139214,5.2287745,small,mid
ENSG00000064225,3.1435082,14.760769,small,mid
ENSG00000166845,0.23196854,9.518289,small,large
ENSG00000173208,0.6366002,7.1028156,small,mid
ENSG00000255733,0.9171379,12.6178055,small,mid
ENSG00000276231,1.0608972,7.147432,small,large
ENSG00000081913,0.65325963,4.754105,small,mid
