,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6
ENSG00000183914,2.9308023,1.4316348,mid,small
ENSG00000118898,1.4468764,0.9086927,mid,small
ENSG00000223784,7.1678014,1.29011,mid,small
ENSG00000272142,8.542305,0.7258895,mid,small
ENSG00000125945,6.54529,4.107603,mid,small
ENSG00000165617,13.206402,0.7935453,large,small
ENSG00000164916,12.4420805,4.073929,mid,small
ENSG00000113805,50.34918,1.4472826,mid,small
ENSG00000159314,1.1830925,1.1358917,mid,small
ENSG00000188368,2.491865,1.7624582,mid,small
ENSG00000168824,5.5867295,3.690218,mid,small
ENSG00000150093,2.820709,0.8453028,mid,small
ENSG00000164619,4.166042,3.0169768,mid,small
ENSG00000153113,15.856171,3.0379303,mid,small
ENSG00000258526,2.9462762,0.4488958,mid,small
ENSG00000168490,3.1720781,1.9941354,mid,small
ENSG00000107738,2.0301259,0.6857563,mid,small
ENSG00000250305,7.6143727,2.0791416,mid,small
ENSG00000042445,7.4520736,5.720454,mid,small
ENSG00000129991,1.1127808,1.5421869,mid,small
ENSG00000106153,3.5752184,0.43096134,mid,small
ENSG00000057019,17.116043,4.4892235,mid,small
ENSG00000165757,15.741794,1.0882598,large,small
ENSG00000262801,2.8336153,1.8190383,mid,small
ENSG00000164292,13.623734,5.4922457,mid,small
ENSG00000185340,1.6632575,0.8094534,mid,small
ENSG00000137672,5.2354083,0.51218915,mid,small
ENSG00000144746,5.6348195,1.2204555,mid,small
ENSG00000133454,7.2319922,1.43247,large,small
ENSG00000141756,2.0691845,0.4950923,mid,small
ENSG00000138639,28.20157,4.9610267,mid,small
ENSG00000197256,4.096654,1.9350166,large,small
ENSG00000182095,7.621758,1.9047055,mid,small
ENSG00000163453,19.16241,2.4400694,mid,small
ENSG00000148426,2.2231822,0.8995897,mid,small
ENSG00000153558,18.060492,4.973219,mid,small
ENSG00000259240,3.3335972,0.8245305,mid,small
ENSG00000099338,3.2838058,0.931881,large,small
ENSG00000185760,4.234802,4.1260443,mid,small
ENSG00000133687,10.456529,0.14653923,mid,small
ENSG00000172935,8.700186,1.191983,large,small
ENSG00000140853,8.619303,1.1361538,large,small
ENSG00000165887,2.5521438,1.3635621,mid,small
ENSG00000185924,1.2624102,0.4898804,mid,small
ENSG00000110427,3.4665895,0.20577016,mid,small
ENSG00000074527,24.87521,1.3130323,large,small
ENSG00000171206,50.92868,1.1638036,large,small
ENSG00000109680,13.783165,1.9003215,mid,small
ENSG00000123104,3.7076218,0.36239436,mid,small
ENSG00000184304,2.8759763,0.585391,mid,small
ENSG00000166173,8.554256,1.2350634,large,small
ENSG00000197119,6.8404775,1.2419343,large,small
ENSG00000213096,1.5481628,0.34420177,mid,small
ENSG00000103381,6.370426,0.05060221,large,small
ENSG00000133121,19.518417,0.43710077,large,small
ENSG00000137449,15.953885,0.5416805,mid,small
ENSG00000175264,3.102573,0.69544435,mid,small
ENSG00000126524,9.38085,3.859299,mid,small
ENSG00000168685,15.037829,1.722842,mid,small
ENSG00000008323,3.0225594,1.6588161,mid,small
ENSG00000144554,9.712658,3.712437,mid,small
ENSG00000140859,5.0794673,1.4971117,large,small
ENSG00000095383,9.782766,2.5230246,mid,small
ENSG00000168615,5.913346,0.33193743,mid,small
ENSG00000120949,6.6265283,2.3649988,mid,small
ENSG00000119699,4.6711297,1.3228979,large,small
ENSG00000258649,1.7022362,1.2320523,mid,small
ENSG00000277232,8.918879,1.9038188,large,small
ENSG00000162599,5.342602,5.198938,mid,small
ENSG00000164932,66.136406,2.8623514,large,small
ENSG00000022277,21.414057,0.2484758,large,small
ENSG00000174099,5.510912,1.7388923,mid,small
ENSG00000131378,8.458765,0.7293136,mid,small
ENSG00000273096,1.691935,1.9234196,mid,small
ENSG00000175832,2.6935587,0.5465998,mid,small
ENSG00000164171,11.101223,7.6814747,mid,small
ENSG00000119917,11.717327,1.6585423,large,small
ENSG00000152583,6.5897617,5.072462,mid,small
ENSG00000277972,1.3330823,1.8679286,mid,small
ENSG00000279407,1.2502769,1.6617435,mid,small
ENSG00000105810,4.307659,2.8209238,mid,small
ENSG00000125508,1.6624801,1.7677301,mid,small
ENSG00000162598,15.544494,1.1658028,mid,small
ENSG00000237356,9.647204,0.47245416,large,small
ENSG00000130045,8.589204,0.6226575,mid,small
ENSG00000157379,3.185954,0.48682445,mid,small
ENSG00000119185,10.34948,3.7879627,mid,small
ENSG00000100100,5.1993933,0.8919282,large,small
ENSG00000124191,21.439106,1.3648698,large,small
ENSG00000157388,5.5064936,2.3559277,mid,small
ENSG00000242396,7.033002,0.28900933,mid,small
ENSG00000183765,1.4915863,1.598884,mid,small
ENSG00000011422,0.8529119,0.7263558,mid,small
ENSG00000234719,16.152046,0.3449676,large,small
ENSG00000165521,2.4823024,0.42650485,mid,small
ENSG00000166924,5.0294614,0.62737453,mid,small
ENSG00000274315,9.476458,0.54720014,mid,small
ENSG00000254682,6.1969,0.15433384,mid,small
ENSG00000184588,18.589518,4.7428126,mid,small
ENSG00000112246,4.038361,1.112958,mid,small
ENSG00000161682,1.5607712,0.4981195,mid,small
ENSG00000283538,3.5710952,0.51100886,mid,small
ENSG00000237172,1.814407,1.5025764,mid,small
ENSG00000252835,3.079144,1.307422,mid,small
ENSG00000276337,4.1161985,1.2215275,large,small
ENSG00000226472,4.9120245,1.3017958,mid,small
ENSG00000234494,2.901095,2.1799493,mid,small
ENSG00000132510,4.0220366,1.361842,large,small
ENSG00000259426,6.5328345,1.0317522,large,small
ENSG00000255346,1.5529174,1.3098658,mid,small
ENSG00000137266,7.728137,3.0788453,mid,small
ENSG00000135318,9.860935,3.394956,mid,small
ENSG00000234814,7.1317286,2.1956966,mid,small
ENSG00000125730,3.365886,1.6540583,large,small
ENSG00000127920,4.5204854,0.58256173,mid,small
ENSG00000008256,12.499856,1.0784373,mid,small
ENSG00000269994,17.019667,1.5688848,mid,small
ENSG00000113356,17.240488,4.2492504,mid,small
ENSG00000106819,4.361591,0.2716347,mid,small
ENSG00000124570,5.00981,4.401187,mid,small
ENSG00000078900,6.132248,4.232738,mid,small
ENSG00000070882,8.992389,3.0656817,mid,small
ENSG00000065308,5.319839,0.9908347,mid,small
ENSG00000250519,2.0505335,0.36633196,mid,small
ENSG00000269343,0.90798044,0.22764994,mid,small
ENSG00000165804,2.0911887,1.4547375,mid,small
ENSG00000272155,3.096912,1.3992684,mid,small
ENSG00000196460,11.648571,0.22861153,mid,small
ENSG00000142173,10.258914,0.5961341,large,small
ENSG00000235609,3.6249154,0.9475288,mid,small
ENSG00000138131,2.4275618,1.7796973,mid,small
ENSG00000229951,10.255237,0.48387292,mid,small
ENSG00000267882,1.5705695,1.174185,mid,small
ENSG00000150051,10.632737,2.468344,large,small
ENSG00000180891,9.176035,1.5344318,large,small
ENSG00000259345,18.442507,0.77638984,large,small
ENSG00000048471,16.152046,0.3449676,large,small
ENSG00000124140,2.028235,1.1319748,mid,small
ENSG00000106367,4.5694027,3.46962,mid,small
ENSG00000139304,3.6248467,0.3417927,mid,small
ENSG00000100599,15.727198,0.3417853,large,small
ENSG00000122420,7.559694,4.66798,mid,small
ENSG00000134138,7.4711003,1.222121,large,small
ENSG00000253837,5.557582,2.2164629,mid,small
ENSG00000186470,6.2866955,4.7820864,mid,small
ENSG00000078177,8.828636,0.43576756,mid,small
ENSG00000198513,2.7543066,0.98134303,mid,small
ENSG00000248405,1.6015521,1.5605625,mid,small
ENSG00000012171,4.776883,5.764555,mid,small
ENSG00000114480,19.285574,4.0434227,mid,small
ENSG00000137819,2.1628656,0.858696,mid,small
ENSG00000160216,6.1430144,0.5670137,large,small
ENSG00000170921,4.303233,0.5112378,large,small
ENSG00000170558,7.292773,1.6104393,large,small
ENSG00000197971,2.2596633,1.218206,mid,small
ENSG00000141449,5.201571,0.49927688,mid,small
ENSG00000115756,17.203053,4.2386885,mid,small
ENSG00000141753,1.7390898,0.68416524,mid,small
ENSG00000140285,4.1815577,0.3309705,mid,small
ENSG00000187720,1.7269044,1.4512608,mid,small
ENSG00000254560,3.527416,1.0384417,mid,small
ENSG00000165092,4.0976896,0.7347925,mid,small
ENSG00000202229,2.1065905,1.3379676,mid,small
ENSG00000174306,7.2624054,0.3686668,large,small
ENSG00000171517,7.7295256,1.7070787,mid,small
ENSG00000113441,14.416758,7.049944,mid,small
ENSG00000174132,48.27664,2.3803308,mid,small
ENSG00000260439,1.5531723,0.22895178,mid,small
ENSG00000170017,56.024174,0.29364207,mid,small
ENSG00000245904,37.045467,0.75620633,large,small
ENSG00000120658,3.2627335,0.8507107,mid,small
ENSG00000187672,7.747553,7.167317,mid,small
ENSG00000265178,1.2359366,1.4414684,mid,small
ENSG00000262185,1.81282,0.5301287,mid,small
ENSG00000166126,1.6587268,1.5126277,mid,small
ENSG00000134333,3.949466,2.0269752,mid,small
ENSG00000157087,6.6863647,6.147095,mid,small
ENSG00000124215,1.3159506,1.972114,mid,small
ENSG00000065833,5.147541,4.7241597,mid,small
ENSG00000226648,1.4139688,1.2320924,mid,small
ENSG00000285793,18.20542,6.371685,mid,small
ENSG00000163412,7.277658,7.242185,mid,small
ENSG00000134686,6.3111577,1.9949247,mid,small
ENSG00000152133,14.86875,4.067194,mid,small
ENSG00000172260,23.691624,2.4458656,mid,small
ENSG00000263551,1.4929831,1.9064364,mid,small
ENSG00000010327,9.544299,0.7553188,mid,small
ENSG00000185022,4.660734,0.71898866,large,small
ENSG00000157890,9.068231,1.4052081,large,small
ENSG00000142156,1.8795063,0.5766176,mid,small
ENSG00000232855,16.819416,0.230836,large,small
ENSG00000146112,4.377051,4.043523,mid,small
ENSG00000204529,2.0337858,0.96272254,mid,small
ENSG00000205041,0.94095445,1.1509999,mid,small
ENSG00000138641,11.607716,2.1344879,mid,small
ENSG00000165929,3.7154713,1.1215949,mid,small
ENSG00000168528,5.9761133,4.0255985,mid,small
ENSG00000180332,13.934348,1.2477136,large,small
ENSG00000232295,10.085986,1.3315909,mid,small
ENSG00000134352,12.525208,4.3593364,mid,small
ENSG00000204592,3.409378,2.9504256,mid,small
ENSG00000164733,4.6954527,1.9371152,mid,small
ENSG00000197943,1.1889938,0.501729,mid,small
ENSG00000165997,3.2783709,0.12061469,mid,small
ENSG00000168874,8.305141,2.3409646,mid,small
ENSG00000175730,5.467822,1.6668476,large,small
ENSG00000121769,4.215106,1.689236,mid,small
ENSG00000150687,2.4281323,1.6422745,mid,small
ENSG00000006282,1.2171096,0.49080846,mid,small
ENSG00000147872,6.1894383,4.766297,mid,small
ENSG00000234026,3.3027875,0.60074824,mid,small
ENSG00000105538,8.387691,0.7342225,large,small
ENSG00000169181,2.1618195,1.9892884,mid,small
ENSG00000189157,5.712633,2.3732564,mid,small
ENSG00000275074,7.2914186,2.4631116,mid,small
ENSG00000107611,9.312128,1.3534716,large,small
ENSG00000127124,18.14844,0.3947165,mid,small
ENSG00000250240,13.593512,0.6604352,mid,small
ENSG00000171766,2.7582972,1.4768656,mid,small
ENSG00000106546,10.841255,1.0237864,mid,small
ENSG00000222000,8.835782,5.9417763,mid,small
ENSG00000144649,5.6048985,4.112183,mid,small
ENSG00000131242,1.3315233,1.0377629,mid,small
ENSG00000151067,6.3302703,0.90491605,mid,small
ENSG00000223403,5.505295,1.2648425,large,small
ENSG00000104325,3.477341,1.1201593,mid,small
ENSG00000171488,18.929502,0.5586503,mid,small
ENSG00000081189,10.576551,1.0926175,mid,small
ENSG00000178150,1.0154073,1.1567962,mid,small
ENSG00000174332,7.083041,3.188777,mid,small
ENSG00000162542,14.331979,4.689095,mid,small
ENSG00000142794,10.85184,3.4316843,mid,small
ENSG00000178917,6.3347154,5.359741,mid,small
ENSG00000263968,1.4310067,0.6428873,mid,small
ENSG00000188662,5.4572945,1.5512947,large,small
ENSG00000156860,2.8336651,0.4036459,mid,small
ENSG00000184305,9.850824,3.692895,mid,small
ENSG00000138100,6.175404,2.58942,mid,small
ENSG00000170545,5.5215926,1.5831764,mid,small
ENSG00000236130,5.435419,1.6395767,mid,small
ENSG00000228204,13.298293,0.3440256,mid,small
ENSG00000175348,2.514448,2.272366,mid,small
ENSG00000245975,1.1895195,0.5516,mid,small
ENSG00000139291,12.951134,0.69844335,mid,small
ENSG00000227372,7.991096,1.9320266,mid,small
ENSG00000273680,9.123883,0.5575593,mid,small
ENSG00000126860,10.823059,1.8473256,large,small
ENSG00000225889,8.792061,6.1683745,mid,small
ENSG00000034152,10.655264,1.5607538,large,small
ENSG00000261253,2.425929,0.26196423,mid,small
ENSG00000227885,13.267997,2.2530777,mid,small
ENSG00000177453,15.222796,0.52801585,mid,small
ENSG00000196526,7.359115,2.9663293,mid,small
ENSG00000182568,11.627054,3.1164057,mid,small
ENSG00000075223,31.355824,0.9954068,mid,small
ENSG00000144043,5.8264146,5.269583,mid,small
ENSG00000237187,24.580559,3.422019,mid,small
ENSG00000159307,2.5143404,1.2467989,mid,small
ENSG00000164061,6.019429,4.210131,mid,small
ENSG00000140675,3.0296333,1.1498798,mid,small
ENSG00000112561,7.8151135,0.5571057,mid,small
ENSG00000156219,5.4350195,0.680094,mid,small
ENSG00000166822,2.135724,1.7364676,mid,small
ENSG00000248360,27.40857,0.72063357,mid,small
ENSG00000066032,9.945513,3.847893,mid,small
ENSG00000152527,6.9045367,5.8711147,mid,small
ENSG00000087128,8.526042,0.7293932,mid,small
ENSG00000093167,6.427726,5.725381,mid,small
ENSG00000164850,5.6658125,3.7999353,mid,small
ENSG00000179833,15.35365,1.4559976,mid,small
ENSG00000183963,5.8316984,2.2005122,large,small
ENSG00000129194,1.2432591,1.2996296,mid,small
ENSG00000181350,2.0521734,2.1308808,mid,small
ENSG00000232977,3.1492808,0.2912557,mid,small
ENSG00000163171,12.469721,3.7147036,mid,small
ENSG00000196361,0.9536874,0.7742379,mid,small
ENSG00000101489,7.6608715,0.42686853,large,small
ENSG00000103196,4.758151,0.84372693,large,small
ENSG00000101160,5.4146495,0.7107179,large,small
ENSG00000174871,2.0092432,2.2338557,mid,small
ENSG00000248309,10.7719145,0.8779754,mid,small
ENSG00000013588,8.416044,0.6521097,mid,small
ENSG00000223756,2.5819438,1.1748945,mid,small
ENSG00000249279,11.368161,0.49557835,mid,small
ENSG00000081913,4.754105,1.5051669,mid,small
ENSG00000117472,3.8802385,1.9151368,mid,small
ENSG00000135424,4.133336,2.4382782,mid,small
ENSG00000026103,8.282697,1.0604043,mid,small
ENSG00000128564,6.436325,4.2170544,mid,small
ENSG00000075426,9.85903,0.8274162,mid,small
ENSG00000167671,2.576319,1.2152796,mid,small
ENSG00000112041,4.0975213,3.2191703,mid,small
ENSG00000168785,18.952814,0.8100208,mid,small
ENSG00000173482,1.8784963,0.67545813,mid,small
ENSG00000266970,1.4184601,2.2371125,mid,small
ENSG00000267383,2.1484747,0.7577247,mid,small
ENSG00000241163,18.3085,0.84280694,mid,small
ENSG00000108557,3.9896197,0.826606,large,small
ENSG00000141738,2.1925657,1.992866,mid,small
ENSG00000104147,4.832273,0.37605175,large,small
ENSG00000145284,13.06086,3.5168247,mid,small
ENSG00000152223,3.0733416,1.5982095,mid,small
ENSG00000156535,8.522542,3.6011295,mid,small
ENSG00000100003,4.3055415,1.3463669,large,small
ENSG00000149596,1.9891946,1.2067347,mid,small
ENSG00000172380,6.0880523,2.5201783,mid,small
ENSG00000184507,4.236465,0.47897246,mid,small
ENSG00000125841,1.7349904,1.6311423,mid,small
ENSG00000257219,15.329599,2.1383283,large,small
ENSG00000135049,11.793334,4.336865,mid,small
ENSG00000119688,4.261703,0.66491145,mid,small
ENSG00000027075,9.155732,0.46697164,large,small
ENSG00000100234,3.3877163,1.6528254,mid,small
ENSG00000214595,5.9773583,5.456009,mid,small
ENSG00000111679,5.2287745,1.4687332,mid,small
ENSG00000247708,6.237714,6.260853,mid,small
ENSG00000120910,5.362795,0.8849059,mid,small
ENSG00000167772,0.9857977,1.6755458,mid,small
ENSG00000167037,1.6982197,1.7155226,mid,small
ENSG00000183454,2.7663343,0.5888937,mid,small
ENSG00000099377,1.9373475,0.2168188,mid,small
ENSG00000168398,13.919076,0.58397764,large,small
ENSG00000146648,22.223171,1.7189837,mid,small
ENSG00000108819,5.726026,1.7301723,large,small
ENSG00000089847,3.351969,1.5412047,large,small
ENSG00000133424,4.674555,0.861847,large,small
ENSG00000111863,14.920074,0.63788223,mid,small
ENSG00000186469,5.4918623,1.1067477,large,small
ENSG00000117525,5.751036,4.151405,mid,small
ENSG00000140937,13.734357,0.33178493,large,small
ENSG00000206129,45.77085,1.8765235,large,small
ENSG00000171132,11.879808,2.0552578,mid,small
ENSG00000119986,2.921405,0.61498564,mid,small
ENSG00000122641,7.8204637,0.6719123,mid,small
ENSG00000274290,4.900157,1.4342018,mid,small
ENSG00000283674,4.252063,0.5342105,mid,small
ENSG00000148680,5.430789,0.37428096,mid,small
ENSG00000040608,1.5642121,0.76588005,mid,small
ENSG00000259370,3.5287886,0.23770389,mid,small
ENSG00000103335,6.079418,1.8792938,large,small
ENSG00000260641,18.952814,0.8100208,mid,small
ENSG00000093010,3.2640526,1.1421936,mid,small
ENSG00000171451,19.872488,0.25274268,large,small
ENSG00000185666,2.3681543,0.70524323,mid,small
ENSG00000281392,8.950611,0.8150387,mid,small
ENSG00000247134,26.783928,0.7517051,large,small
