,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6
ENSG00000147894,0.2394393,57.835682,small,large
ENSG00000185065,0.19231872,3.8950324,small,mid
ENSG00000248538,0.37113738,4.8536267,small,mid
ENSG00000152926,0.101564296,61.46633,small,large
ENSG00000170745,0.88816804,5.6212096,small,mid
ENSG00000156869,1.0987849,7.412255,small,large
ENSG00000110047,1.1535283,3.2574096,small,mid
ENSG00000167680,0.5256449,5.0466166,small,mid
ENSG00000234911,0.3014046,6.5869317,small,large
ENSG00000196975,0.2292914,14.889222,small,large
ENSG00000168374,0.18662821,25.853714,small,large
ENSG00000181585,0.28387934,5.8354383,small,mid
ENSG00000273284,0.4516314,15.829485,small,large
ENSG00000051108,0.301257,5.977051,small,mid
ENSG00000205838,0.18978904,10.633389,small,large
ENSG00000155849,0.5084752,15.666373,small,large
ENSG00000154639,0.3148617,10.621503,small,large
ENSG00000251442,0.9267129,3.3940222,small,mid
ENSG00000171617,1.0890896,4.1118355,small,mid
ENSG00000088538,0.43111378,5.3242893,small,mid
ENSG00000131941,0.2900956,14.439073,small,large
ENSG00000266950,0.26122537,4.298251,small,mid
ENSG00000233290,0.20815279,22.886677,small,large
ENSG00000144749,0.8610246,11.549827,small,large
ENSG00000103037,0.66102105,2.9020517,small,mid
ENSG00000159314,1.1979828,3.4126508,small,mid
ENSG00000205268,0.56518567,23.519909,small,large
ENSG00000117676,0.5682549,4.6385794,small,mid
ENSG00000232466,1.2648534,14.869037,small,large
ENSG00000242247,0.5429794,3.9621317,small,mid
ENSG00000180488,0.47960004,12.870474,small,large
ENSG00000197020,0.014672543,9.419576,small,large
ENSG00000132780,0.2262326,1.8390326,small,mid
ENSG00000265750,0.96432716,8.530297,small,large
ENSG00000074181,0.29448634,8.688229,small,large
ENSG00000117151,0.25419667,6.9631124,small,large
ENSG00000141524,0.7165493,7.2497907,small,large
ENSG00000228423,0.50192654,10.644744,small,large
ENSG00000211455,0.27560762,9.972031,small,large
ENSG00000153162,0.5939024,5.3137336,small,mid
ENSG00000122707,0.3431469,4.2238317,small,mid
ENSG00000197879,0.52333874,6.1553745,small,mid
ENSG00000101003,0.7319704,2.9057434,small,mid
ENSG00000268324,0.34509712,3.9523144,small,mid
ENSG00000134769,0.16758735,19.41027,small,large
ENSG00000179299,0.042081036,4.240739,small,mid
ENSG00000167281,0.61446357,17.468674,small,large
ENSG00000175274,0.79608065,4.242918,small,mid
ENSG00000277270,0.21222809,27.276175,small,large
ENSG00000257474,0.16507205,2.1721203,small,mid
ENSG00000244627,0.2943771,15.798606,small,large
ENSG00000185339,0.3662722,2.6763358,small,mid
ENSG00000100106,0.29567313,6.4816875,small,large
ENSG00000233056,0.112818606,2.12194,small,mid
ENSG00000159217,0.4545924,6.4761553,small,mid
ENSG00000242715,0.45963588,6.1137114,small,large
ENSG00000106070,0.19926955,13.971692,small,large
ENSG00000121104,0.29924715,8.625322,small,large
ENSG00000164418,1.6099468,20.82544,small,large
ENSG00000227214,0.20844479,3.4000301,small,mid
ENSG00000166689,0.3194049,12.662793,small,large
ENSG00000175130,0.3884217,3.5747201,small,mid
ENSG00000198346,0.26410592,12.448988,small,large
ENSG00000141068,0.23475628,4.5272355,small,mid
ENSG00000100784,0.19861887,12.627216,small,large
ENSG00000139971,1.1049916,2.5309556,small,mid
ENSG00000253553,0.6300435,4.0051174,small,mid
ENSG00000163110,0.012903618,8.855937,small,large
ENSG00000185652,0.9262808,2.5859137,small,mid
ENSG00000124092,1.0450127,9.288218,small,large
ENSG00000100934,0.6724279,12.213785,small,large
ENSG00000105289,0.73613626,3.8357694,small,mid
ENSG00000115392,0.21077603,20.751467,small,large
ENSG00000167670,0.5171391,5.134773,small,mid
ENSG00000182141,0.2143161,3.687354,small,mid
ENSG00000198039,0.11266582,60.37868,small,large
ENSG00000205562,0.0063023213,8.883448,small,large
ENSG00000213983,1.0444195,5.94879,small,large
ENSG00000103742,0.7734844,3.0168993,small,mid
ENSG00000106333,0.48600003,5.8192196,small,mid
ENSG00000174718,1.1722325,14.93536,small,large
ENSG00000068079,1.1188956,5.540344,small,mid
ENSG00000185015,0.2848093,57.03543,small,large
ENSG00000157570,0.6450695,12.115724,small,large
ENSG00000177076,0.21663074,10.490737,small,large
ENSG00000221818,0.9660849,3.4754138,small,mid
ENSG00000183196,0.38962364,8.583736,small,large
ENSG00000104361,0.22106996,9.436847,small,large
ENSG00000206557,1.2397585,10.04297,small,large
ENSG00000132003,0.37355024,3.7566528,small,mid
ENSG00000273274,0.32422647,5.9929914,small,large
ENSG00000140688,0.43108323,6.463584,small,large
ENSG00000183971,0.98172194,5.7307982,small,mid
ENSG00000119632,0.31612283,1.8493465,small,mid
ENSG00000111799,0.94211656,4.411885,small,mid
ENSG00000117569,0.07877595,20.609558,small,large
ENSG00000146267,0.19569978,5.733343,small,mid
ENSG00000173846,0.2091247,3.0099628,small,mid
ENSG00000127152,0.9461908,2.758441,small,mid
ENSG00000258101,0.47485405,6.380822,small,large
ENSG00000148671,0.4959486,2.345737,small,mid
ENSG00000114353,0.5339753,3.4921792,small,mid
ENSG00000112218,0.060493458,26.98783,small,large
ENSG00000113369,0.25440392,4.0883393,small,mid
ENSG00000166963,0.6591674,3.6674411,small,mid
ENSG00000167608,0.25230795,4.6394634,small,mid
ENSG00000221817,1.1926382,4.821581,small,mid
ENSG00000276071,0.041028637,5.4722223,small,mid
ENSG00000038427,0.08685179,3.3287823,small,mid
ENSG00000168078,0.22885105,8.226294,small,large
ENSG00000020577,0.6702884,2.6576655,small,mid
ENSG00000267279,0.87474495,9.714236,small,large
ENSG00000168477,0.9530084,4.203244,small,mid
ENSG00000138760,0.26644266,7.6821985,small,mid
ENSG00000115561,0.026717374,10.880074,small,large
ENSG00000147601,0.24459194,25.47802,small,large
ENSG00000203635,0.77680105,6.3026924,small,mid
ENSG00000244332,0.84249187,11.559051,small,large
ENSG00000171105,0.5061957,10.962305,small,large
ENSG00000006432,0.74595225,2.632985,small,mid
ENSG00000171219,0.41150516,3.1754377,small,mid
ENSG00000151239,0.041198548,7.441871,small,large
ENSG00000255236,0.26654702,16.02047,small,large
ENSG00000177981,0.895886,5.434346,small,mid
ENSG00000185567,0.8652124,2.7052631,small,mid
ENSG00000269425,0.6608337,5.7131767,small,large
ENSG00000136378,0.6909335,4.303818,small,mid
ENSG00000172731,0.7851686,4.371778,small,mid
ENSG00000092929,0.3500479,6.293841,small,mid
ENSG00000223685,0.1438363,5.7375035,small,large
ENSG00000283064,0.41457528,3.864672,small,mid
ENSG00000152291,0.34256324,8.421932,small,large
ENSG00000139146,0.31948617,14.118911,small,large
ENSG00000101198,0.66197115,10.438113,small,large
ENSG00000196247,0.003794872,59.52766,small,large
ENSG00000164985,0.24492973,12.102715,small,large
ENSG00000188921,0.25470752,8.426537,small,large
ENSG00000124171,0.6193617,6.726425,small,large
ENSG00000254337,0.43238294,5.5208106,small,mid
ENSG00000164199,0.70808566,12.421248,small,large
ENSG00000111266,0.357626,2.826869,small,mid
ENSG00000253320,0.21701297,7.8775716,small,large
ENSG00000161243,0.42715985,6.33626,small,large
ENSG00000141447,0.31387648,11.98559,small,large
ENSG00000189283,0.16968861,5.031843,small,mid
ENSG00000186409,0.21267259,18.981323,small,large
ENSG00000274750,1.2639515,7.577129,small,mid
ENSG00000166831,0.7703026,9.245672,small,large
ENSG00000142065,0.029506486,7.1250234,small,large
ENSG00000148948,0.78475904,20.988195,small,large
ENSG00000172037,1.228641,9.942234,small,large
ENSG00000102781,0.2691071,4.150469,small,mid
ENSG00000275216,0.96399355,2.163001,small,mid
ENSG00000119139,0.27346402,5.410285,small,mid
ENSG00000175707,0.39722335,1.8867067,small,mid
ENSG00000162409,0.24715976,7.6507173,small,large
ENSG00000180035,0.23694874,6.669116,small,large
ENSG00000162437,0.26742294,18.75265,small,large
ENSG00000283341,0.5220888,2.0406733,small,mid
ENSG00000125731,0.19966717,6.465552,small,large
ENSG00000073008,0.52669823,5.7875743,small,large
ENSG00000008083,0.1885874,5.4355555,small,mid
ENSG00000267519,0.40742788,3.3883426,small,mid
ENSG00000137312,0.36463296,6.1104984,small,mid
ENSG00000104112,0.32920688,9.178989,small,large
ENSG00000134030,0.9475503,5.970645,small,mid
ENSG00000095002,0.24316667,5.3070593,small,mid
ENSG00000166848,0.7984767,7.7148113,small,large
ENSG00000164411,1.3680243,4.220964,small,mid
ENSG00000078295,0.2192664,11.802682,small,large
ENSG00000145536,1.6045793,19.087532,small,large
ENSG00000273786,0.66404146,4.0356274,small,mid
ENSG00000103550,0.24097502,3.0022266,small,mid
ENSG00000171867,0.32173607,9.434044,small,large
ENSG00000178078,0.51142126,4.8866305,small,mid
ENSG00000142166,0.27809563,9.199734,small,large
ENSG00000239218,1.6172754,3.904189,small,mid
ENSG00000272168,0.13635653,16.295517,small,large
ENSG00000241697,0.2997267,7.644289,small,large
ENSG00000175395,0.030687552,30.553587,small,large
ENSG00000136231,0.25002444,3.64503,small,mid
ENSG00000088280,0.35313642,1.8698328,small,mid
ENSG00000164181,0.18424082,23.155628,small,large
ENSG00000250320,0.60577244,22.447088,small,large
ENSG00000131746,0.92627364,4.1140685,small,mid
ENSG00000204634,0.39068463,4.106817,small,mid
ENSG00000197961,0.12577872,4.24997,small,mid
ENSG00000152953,0.28956375,4.814537,small,mid
ENSG00000142347,0.30673793,2.6138396,small,mid
ENSG00000206579,1.5280366,14.517273,small,large
ENSG00000204991,0.7287551,4.6806583,small,mid
ENSG00000281103,0.46175584,7.6117854,small,mid
ENSG00000167524,0.85783875,9.853118,small,large
ENSG00000284428,0.025857281,11.102264,small,large
ENSG00000185088,0.26912034,2.852489,small,mid
ENSG00000137942,0.42742434,19.009615,small,large
ENSG00000162616,0.017584037,16.347778,small,large
ENSG00000170561,0.17908919,11.276748,small,large
ENSG00000133740,0.5748591,58.040874,small,large
ENSG00000176920,0.2808217,6.838508,small,large
ENSG00000079215,1.3955518,13.160696,small,large
ENSG00000167588,0.823713,2.972069,small,mid
ENSG00000068912,0.7088526,39.002144,small,large
ENSG00000078114,0.27186814,3.1214461,small,mid
ENSG00000049323,0.17591096,13.984049,small,large
ENSG00000083307,0.21949558,8.414525,small,large
ENSG00000128849,0.28462714,8.983064,small,large
ENSG00000134758,0.24747081,18.148832,small,large
ENSG00000135636,0.58278,4.368441,small,mid
ENSG00000141384,1.1915863,7.0320954,small,mid
ENSG00000153157,0.2989118,15.58399,small,large
ENSG00000232677,0.026971215,6.546668,small,large
ENSG00000139832,1.0082362,5.5604386,small,large
ENSG00000129354,0.47916526,3.013785,small,mid
ENSG00000172687,0.24059562,4.064194,small,mid
ENSG00000247556,0.2535237,5.778703,small,large
ENSG00000179361,0.276083,10.084,small,large
ENSG00000283982,0.29565698,18.452806,small,large
ENSG00000082269,0.22770718,30.790184,small,large
ENSG00000044090,0.27751195,6.0160747,small,mid
ENSG00000166710,0.45226756,2.3832555,small,mid
ENSG00000167216,0.2925597,22.776161,small,large
ENSG00000261732,0.8691873,16.468208,small,large
ENSG00000104435,1.5922065,6.7912908,small,mid
ENSG00000267284,0.7736843,14.792999,small,large
ENSG00000105866,0.24033806,16.235085,small,large
ENSG00000119673,0.40717208,10.6107435,small,large
ENSG00000245522,0.28870648,2.052743,small,mid
ENSG00000234261,0.37376484,10.449082,small,large
ENSG00000141401,0.4947782,6.0067363,small,mid
ENSG00000179136,0.99909896,11.075896,small,large
ENSG00000274751,0.581429,3.0928457,small,mid
ENSG00000170579,0.15863845,43.793926,small,large
ENSG00000183655,0.57564586,7.7042413,small,large
ENSG00000104177,0.26668632,14.942604,small,large
ENSG00000138772,0.168106,3.1234512,small,mid
ENSG00000046889,1.3071752,33.5182,small,large
ENSG00000169213,0.2260944,3.6170936,small,mid
ENSG00000085063,0.37744254,2.8719425,small,mid
ENSG00000170634,0.027790302,6.566599,small,mid
ENSG00000207751,0.17516166,3.63699,small,mid
ENSG00000137135,0.7166389,7.42877,small,large
ENSG00000246263,1.0481735,11.395674,small,large
ENSG00000142765,0.7050268,3.7347746,small,mid
ENSG00000198663,0.5799928,6.2109637,small,mid
ENSG00000119888,0.99219894,4.95472,small,mid
ENSG00000280069,0.42126793,6.7434387,small,large
ENSG00000187764,0.34250098,21.79733,small,large
ENSG00000196220,0.30568677,4.107171,small,mid
ENSG00000059804,0.25244606,2.686118,small,mid
ENSG00000156970,0.4030155,7.8484607,small,large
ENSG00000268677,0.3015391,5.1115556,small,mid
ENSG00000007944,0.21641874,9.187255,small,large
ENSG00000155066,0.39489573,10.930364,small,large
ENSG00000167676,0.7581596,3.5104074,small,mid
ENSG00000119681,0.32888713,2.6417048,small,mid
ENSG00000150510,0.33313632,19.717587,small,large
ENSG00000122490,0.62953466,4.113294,small,mid
ENSG00000166342,1.1587858,20.92442,small,large
ENSG00000163666,0.26097977,12.227835,small,large
ENSG00000185070,0.018930195,8.222689,small,large
ENSG00000148634,0.23241928,2.2529457,small,mid
ENSG00000198780,0.34705588,14.5828085,small,large
ENSG00000170381,0.2865249,23.08394,small,large
ENSG00000235531,0.5255583,3.5206378,small,mid
ENSG00000153066,0.23158318,9.174359,small,large
ENSG00000145703,0.54997915,24.171581,small,large
ENSG00000054793,0.29886296,4.902762,small,mid
ENSG00000138032,0.47729814,13.480502,small,large
ENSG00000139899,0.8143721,1.811501,small,mid
ENSG00000242085,0.96342576,2.8382375,small,mid
ENSG00000106078,0.28137246,21.919353,small,large
ENSG00000162614,0.020581637,3.2137432,small,mid
ENSG00000089486,0.80078554,4.677061,small,mid
ENSG00000007171,1.02426,5.028437,small,mid
ENSG00000160991,0.30898973,8.570222,small,mid
ENSG00000010704,0.24477167,6.823998,small,mid
ENSG00000225783,0.60346746,6.3975005,small,large
ENSG00000167306,1.209018,22.879162,small,large
ENSG00000162433,0.5815422,11.200667,small,large
ENSG00000176485,0.7404396,7.2464237,small,large
ENSG00000092345,0.13756229,11.542046,small,large
ENSG00000074842,0.4867674,6.570965,small,large
ENSG00000119698,0.6569925,5.4393754,small,large
ENSG00000111752,0.50321674,17.483013,small,large
ENSG00000158296,0.37075466,12.963117,small,large
ENSG00000258559,0.5700912,3.778208,small,mid
ENSG00000139946,0.3248166,4.4042387,small,mid
ENSG00000111837,0.31587374,10.438999,small,large
ENSG00000181577,0.35271204,3.46186,small,mid
ENSG00000151090,0.4646232,27.91798,small,large
ENSG00000234690,0.99219894,4.5505824,small,mid
ENSG00000090661,0.8040512,8.850387,small,large
ENSG00000128340,0.47926456,5.3599305,small,mid
ENSG00000124374,0.23033904,15.680154,small,large
ENSG00000137831,0.38946626,3.8175166,small,mid
ENSG00000107159,1.2061001,7.4005017,small,large
ENSG00000272677,0.21200417,5.6967883,small,mid
ENSG00000263818,0.27967483,11.757255,small,large
ENSG00000175806,1.5768744,6.7765284,small,mid
ENSG00000245680,0.045438252,12.915323,small,large
ENSG00000130402,0.6573021,2.6068835,small,mid
ENSG00000112293,0.3648327,7.8186107,small,large
ENSG00000170175,0.4024546,2.947685,small,mid
ENSG00000197467,0.36924815,4.2772617,small,mid
ENSG00000143033,0.26741916,2.0780675,small,mid
ENSG00000183230,0.32399574,6.1295357,small,large
ENSG00000096717,0.23919523,7.300885,small,large
ENSG00000162368,0.31850207,8.778542,small,large
ENSG00000107736,0.3531181,4.3384414,small,mid
ENSG00000272578,0.26256236,12.526071,small,large
ENSG00000021645,1.223039,25.541096,small,large
ENSG00000109084,0.29109263,8.73862,small,large
ENSG00000255234,0.5311546,2.9702773,small,mid
ENSG00000224729,0.439476,6.4146175,small,mid
ENSG00000133026,0.36151078,3.6310978,small,mid
ENSG00000179859,1.1763202,2.8679254,small,mid
ENSG00000285804,0.26584417,4.142098,small,mid
ENSG00000233723,0.23660015,7.185953,small,mid
ENSG00000108960,0.30665842,3.1096401,small,mid
ENSG00000133962,1.2342902,15.484976,small,large
ENSG00000122884,0.31810486,3.1755533,small,mid
ENSG00000113100,1.2110779,30.573524,small,large
ENSG00000116254,1.0805769,2.4622483,small,mid
ENSG00000035862,0.6871814,2.6171296,small,mid
ENSG00000105355,0.52672935,2.7268908,small,mid
ENSG00000166123,0.94888616,8.299745,small,large
ENSG00000196268,0.24426514,4.5450087,small,mid
ENSG00000226332,0.15819433,2.769901,small,mid
ENSG00000173039,0.31971252,4.1570497,small,mid
ENSG00000154511,0.3313402,2.0053148,small,mid
ENSG00000135047,0.80989164,2.7153487,small,mid
ENSG00000235760,0.20572805,17.518871,small,large
ENSG00000105137,0.4649418,3.759762,small,mid
ENSG00000132824,0.2835138,5.0076666,small,mid
ENSG00000131730,0.3682346,8.042629,small,mid
ENSG00000221968,0.85626006,2.2720861,small,mid
ENSG00000162105,0.8538308,8.648562,small,large
ENSG00000110944,0.70564026,6.4597435,small,large
ENSG00000146757,0.18677185,54.190865,small,large
ENSG00000130584,0.7127969,10.156437,small,large
ENSG00000127423,0.38850158,9.158668,small,large
ENSG00000182256,0.66578394,11.951759,small,large
ENSG00000039068,0.23784412,9.20943,small,large
ENSG00000262001,0.8837788,3.2987275,small,mid
ENSG00000196218,0.3268043,9.70596,small,large
ENSG00000126803,1.157882,3.6744742,small,mid
ENSG00000186451,0.3191037,10.6844425,small,large
ENSG00000168487,1.8241737,3.2911863,small,mid
ENSG00000165323,0.34761453,5.280046,small,mid
ENSG00000132749,0.5108545,3.447146,small,mid
ENSG00000126822,0.9668305,4.9151883,small,mid
ENSG00000151348,1.0364299,2.2588668,small,mid
ENSG00000101188,0.32298717,2.6529627,small,mid
ENSG00000168405,0.4508255,9.042595,small,large
ENSG00000166002,0.19602565,2.944262,small,mid
ENSG00000139116,1.2433447,143.70197,small,large
ENSG00000015413,0.59864354,3.7723978,small,mid
ENSG00000147852,1.2927613,5.8278008,small,mid
ENSG00000261582,1.1478027,5.713706,small,mid
ENSG00000154359,0.08418853,15.78279,small,large
ENSG00000086475,1.0269318,3.1904905,small,mid
ENSG00000171466,0.25194988,12.316153,small,large
ENSG00000266903,0.7536496,2.6105938,small,mid
ENSG00000157542,1.0183611,6.685608,small,mid
ENSG00000162551,0.53921574,3.6366224,small,mid
ENSG00000166532,0.97546583,14.353572,small,large
ENSG00000116127,0.08897779,7.372317,small,large
