,min_dist_self,min_dist_other,quartile_cat_self,quartile_cat_other,contrasted_with
ENSG00000235621,0.23078726,1.559871,small,mid,H1ESC
ENSG00000162927,0.29394302,2.7389464,small,mid,H1ESC
ENSG00000177105,0.7325649,1.9255284,small,mid,H1ESC
ENSG00000178996,0.41008416,5.46504,small,mid,H1ESC
ENSG00000234883,0.75471056,3.4133604,small,mid,H1ESC
ENSG00000157353,0.35943672,4.8859715,small,large,H1ESC
ENSG00000198937,0.8937498,3.2870877,small,mid,H1ESC
ENSG00000136237,1.0703135,7.464885,small,large,H1ESC
ENSG00000136279,0.34940785,8.94283,small,large,H1ESC
ENSG00000223745,0.44759724,2.1600106,small,mid,H1ESC
ENSG00000284882,0.4374394,2.3931177,small,mid,H1ESC
ENSG00000181031,0.3936698,7.901254,small,large,H1ESC
ENSG00000175779,0.37272143,13.052539,small,large,H1ESC
ENSG00000255693,0.5758735,1.5984645,small,mid,H1ESC
ENSG00000261471,0.3455755,2.0253584,small,mid,H1ESC
ENSG00000100600,0.6024274,9.782618,small,large,H1ESC
ENSG00000105499,0.41346344,2.4358954,small,mid,H1ESC
ENSG00000169193,0.33740175,7.571053,small,large,H1ESC
ENSG00000101160,1.0303856,5.4146495,small,large,H1ESC
ENSG00000100979,0.42439407,3.45155,small,mid,H1ESC
ENSG00000140443,0.41195688,3.0707862,small,mid,H1ESC
ENSG00000206028,0.575179,3.3649497,small,mid,H1ESC
ENSG00000159307,0.69298476,2.7299583,small,mid,H1ESC
ENSG00000271933,0.32230878,1.9488193,small,mid,H1ESC
ENSG00000156968,0.8744795,11.32365,small,large,H1ESC
ENSG00000168297,0.33686745,3.8167274,small,mid,H1ESC
ENSG00000166845,0.23196854,9.518289,small,large,H1ESC
ENSG00000276231,1.0889457,7.147432,small,large,H1ESC
ENSG00000253304,0.9244191,2.311385,small,mid,H1ESC
ENSG00000255733,0.9171379,12.6178055,small,large,H1ESC
ENSG00000081913,0.65325963,4.754105,small,mid,H1ESC
ENSG00000129214,0.5110438,7.2625074,small,large,H1ESC
ENSG00000012779,0.53154325,10.347507,small,large,H1ESC
ENSG00000111679,0.42766502,5.2287745,small,mid,H1ESC
ENSG00000173208,0.6366002,7.1028156,small,large,H1ESC
ENSG00000185670,0.504123,2.1454797,small,mid,H1ESC
ENSG00000159733,0.26109084,2.4473515,small,mid,H1ESC
ENSG00000099992,0.45265412,8.191736,small,large,H1ESC
ENSG00000266865,0.24470764,3.9943564,small,mid,H1ESC
ENSG00000115758,0.9062064,4.99723,small,mid,H1ESC
ENSG00000183323,0.47490036,5.2748814,small,mid,H1ESC
ENSG00000186019,0.61975276,2.991794,small,large,H1ESC
ENSG00000115266,0.30932805,1.6900961,small,mid,H1ESC
ENSG00000231999,0.28670302,18.929502,small,large,H1ESC
ENSG00000134802,0.32913673,4.066538,small,mid,H1ESC
ENSG00000253633,0.27557302,1.9906907,small,mid,H1ESC
ENSG00000112309,0.871691,14.708578,small,large,H1ESC
ENSG00000275410,0.921221,7.0135756,small,large,H1ESC
ENSG00000139880,0.20215648,3.603133,small,mid,H1ESC
ENSG00000103067,0.2255819,3.5223596,small,mid,H1ESC
ENSG00000100299,0.31320974,4.22489,small,large,H1ESC
ENSG00000104870,0.2991853,2.473227,small,mid,H1ESC
ENSG00000162542,0.5036255,14.462849,small,large,H1ESC
ENSG00000076641,0.9104225,16.950289,small,large,H1ESC
ENSG00000140577,0.3319005,6.9638405,small,large,H1ESC
ENSG00000182054,1.1314682,9.516256,small,large,H1ESC
ENSG00000175482,0.86283946,1.220545,small,mid,H1ESC
ENSG00000170421,0.81085515,8.909543,small,large,H1ESC
ENSG00000141655,0.30701515,3.301398,small,mid,H1ESC
ENSG00000277851,0.30189753,15.906639,small,large,H1ESC
ENSG00000135605,0.4175005,17.863747,small,large,H1ESC
ENSG00000224220,0.2305065,6.1195354,small,large,H1ESC
ENSG00000232936,0.6823935,1.212518,small,mid,H1ESC
ENSG00000264278,0.71584666,8.066381,small,large,H1ESC
ENSG00000107816,0.27972102,1.5330248,small,mid,H1ESC
ENSG00000187510,0.32895988,14.329872,small,large,H1ESC
ENSG00000130429,0.84677714,4.2920885,small,mid,H1ESC
ENSG00000077420,0.6249047,15.104347,small,large,H1ESC
ENSG00000198838,0.6016702,4.469245,small,mid,H1ESC
ENSG00000183570,0.48430562,10.723309,small,large,H1ESC
ENSG00000141441,0.44271854,11.732279,small,large,H1ESC
ENSG00000081189,0.3722724,10.576551,small,large,H1ESC
ENSG00000221963,0.3605738,5.049526,small,large,H1ESC
ENSG00000198833,0.43990996,5.4137435,small,large,H1ESC
ENSG00000255367,0.83187455,7.55669,small,large,H1ESC
ENSG00000247121,0.3644693,14.416758,small,large,H1ESC
ENSG00000161682,0.6114255,1.5607712,small,mid,H1ESC
ENSG00000110057,0.8835451,1.558372,small,mid,H1ESC
ENSG00000114480,0.49029008,19.285574,small,large,H1ESC
ENSG00000160216,0.529048,6.1430144,small,large,H1ESC
ENSG00000253824,0.48786724,12.109175,small,large,H1ESC
ENSG00000196684,0.7708783,0.9604702,small,mid,H1ESC
ENSG00000105928,0.7194208,9.025744,small,large,H1ESC
ENSG00000072818,0.54202443,1.220249,small,mid,H1ESC
ENSG00000177842,0.23742875,1.4634521,small,mid,H1ESC
ENSG00000200502,0.8528608,15.730211,small,large,H1ESC
ENSG00000151093,0.21788865,8.313338,small,large,H1ESC
ENSG00000067798,0.49611235,21.924946,small,large,H1ESC
ENSG00000258760,0.30043706,7.932243,small,large,H1ESC
ENSG00000176472,0.3723634,2.1788943,small,mid,H1ESC
ENSG00000129993,0.6584901,18.98618,small,large,H1ESC
ENSG00000259248,0.69020915,2.915681,small,mid,H1ESC
ENSG00000178878,0.7475398,6.340751,small,large,H1ESC
ENSG00000264773,0.7947802,6.8780975,small,large,H1ESC
ENSG00000103187,0.8830485,1.0405593,small,mid,H1ESC
ENSG00000113296,0.2641127,17.780336,small,large,H1ESC
ENSG00000137166,0.5106504,4.6090226,small,mid,H1ESC
ENSG00000144746,0.6033572,5.6348195,small,large,H1ESC
ENSG00000162924,0.34170476,15.6274805,small,large,H1ESC
ENSG00000133321,0.26971337,1.4130245,small,mid,H1ESC
ENSG00000069943,0.34503442,11.72652,small,large,H1ESC
ENSG00000100351,0.4681507,8.360915,small,large,H1ESC
ENSG00000076826,0.27983078,3.5274472,small,large,H1ESC
ENSG00000265458,0.5833975,2.7386692,small,mid,H1ESC
ENSG00000154274,0.37887898,2.7141407,small,mid,H1ESC
ENSG00000105479,0.41972607,4.0509257,small,large,H1ESC
ENSG00000280099,0.24788183,11.788504,small,large,H1ESC
ENSG00000261360,1.2832768,8.151705,small,mid,H1ESC
ENSG00000162415,0.41664237,1.7640243,small,mid,H1ESC
ENSG00000213965,0.21137474,4.8669815,small,large,H1ESC
ENSG00000196284,0.23958662,19.09359,small,large,H1ESC
ENSG00000161082,0.49915707,3.8544526,small,large,H1ESC
ENSG00000126860,0.48826653,10.823059,small,large,H1ESC
ENSG00000146555,0.28918865,16.654778,small,large,H1ESC
ENSG00000111145,0.29342097,5.276883,small,mid,H1ESC
ENSG00000105639,0.35762557,2.687376,small,mid,H1ESC
ENSG00000253250,0.3543758,5.835325,small,mid,H1ESC
ENSG00000134330,0.2889688,2.9211624,small,mid,H1ESC
ENSG00000243811,0.4480909,2.0166128,small,mid,H1ESC
ENSG00000078687,0.37025616,8.475383,small,large,H1ESC
ENSG00000137507,0.96210676,2.6876276,small,mid,H1ESC
ENSG00000072110,0.46091425,8.652552,small,large,H1ESC
ENSG00000112149,0.42993888,4.3172503,small,mid,H1ESC
ENSG00000171488,0.28670302,18.929502,small,large,H1ESC
ENSG00000011405,0.27971774,5.928573,small,large,H1ESC
ENSG00000100055,0.61284804,6.574677,small,large,H1ESC
ENSG00000232613,0.28622472,5.170236,small,mid,H1ESC
ENSG00000248309,0.1739465,10.7719145,small,large,H1ESC
ENSG00000080503,0.27397984,3.39936,small,mid,H1ESC
ENSG00000235989,0.83140326,1.4267505,small,mid,H1ESC
ENSG00000262943,0.6448399,2.4591684,small,mid,H1ESC
ENSG00000154655,0.19938934,4.4304237,small,mid,H1ESC
ENSG00000146072,0.7891658,7.3135657,small,large,H1ESC
ENSG00000142634,0.54262304,1.4806465,small,mid,H1ESC
ENSG00000108669,0.88828117,9.978985,small,large,H1ESC
ENSG00000132510,1.0468721,4.0220366,small,large,H1ESC
ENSG00000104490,0.4238327,6.244234,small,large,H1ESC
ENSG00000273145,0.5192753,3.6384742,small,mid,H1ESC
ENSG00000141506,0.45326546,8.265791,small,large,H1ESC
ENSG00000136305,0.93299127,2.6579437,small,mid,H1ESC
ENSG00000164659,0.47682703,18.565697,small,large,H1ESC
ENSG00000196126,0.49133393,3.85626,small,mid,H1ESC
ENSG00000152229,0.9000728,2.0166683,small,mid,H1ESC
ENSG00000170004,0.3461053,7.5764866,small,large,H1ESC
ENSG00000120860,0.28891245,5.7793827,small,large,H1ESC
ENSG00000169442,0.24354047,4.161471,small,large,H1ESC
ENSG00000165025,0.67032886,4.692813,small,mid,H1ESC
ENSG00000101017,0.5828547,3.8291814,small,mid,H1ESC
ENSG00000237181,0.45237055,6.987984,small,large,H1ESC
ENSG00000114166,0.6568959,6.8201575,small,large,H1ESC
ENSG00000139192,0.21752037,3.9585965,small,mid,H1ESC
ENSG00000283674,0.8664854,4.252063,small,mid,H1ESC
ENSG00000116704,0.29340944,1.1560433,small,mid,H1ESC
ENSG00000184979,0.02856661,2.6446443,small,mid,H1ESC
ENSG00000275004,0.30208305,11.420233,small,large,H1ESC
ENSG00000100298,0.67188835,2.4811392,small,mid,H1ESC
ENSG00000185043,0.37378132,4.8757296,small,mid,H1ESC
ENSG00000125657,0.49286354,7.159636,small,large,H1ESC
ENSG00000005844,0.62423563,7.2936354,small,large,H1ESC
ENSG00000113532,0.392605,51.787045,small,large,H1ESC
ENSG00000247774,0.24120674,1.5701557,small,mid,H1ESC
ENSG00000167984,0.3132204,2.3564718,small,mid,H1ESC
ENSG00000104921,0.8586223,5.567346,small,large,H1ESC
ENSG00000114812,0.26328924,12.049867,small,large,H1ESC
ENSG00000170011,0.6091598,4.7027273,small,mid,H1ESC
ENSG00000186026,0.28832603,3.9111032,small,large,H1ESC
ENSG00000259583,0.73406976,1.8282504,small,mid,H1ESC
ENSG00000104432,0.26030904,9.791257,small,large,H1ESC
ENSG00000185518,0.3298174,10.608837,small,large,H1ESC
ENSG00000101336,0.8551072,7.697012,small,large,H1ESC
ENSG00000028137,0.36739323,1.5048316,small,mid,H1ESC
ENSG00000165997,0.025000544,3.2783709,small,mid,H1ESC
ENSG00000285816,0.16705385,5.2202344,small,large,H1ESC
ENSG00000181007,0.58940405,1.2192253,small,mid,H1ESC
ENSG00000182986,0.04208932,5.15855,small,large,H1ESC
ENSG00000057019,0.37787843,17.116043,small,large,H1ESC
ENSG00000135318,0.51438445,31.255713,small,large,H1ESC
ENSG00000166924,0.5377133,5.0689692,small,mid,H1ESC
ENSG00000196132,0.6321239,7.3208747,small,large,H1ESC
ENSG00000197321,0.37150243,1.3904196,small,mid,H1ESC
ENSG00000272182,0.5024609,2.4548101,small,mid,H1ESC
ENSG00000027075,0.38933396,9.155732,small,large,H1ESC
ENSG00000173402,0.7636182,2.8907502,small,mid,H1ESC
ENSG00000205476,0.57069623,5.5215664,small,large,H1ESC
ENSG00000112992,0.50508857,7.848293,small,mid,H1ESC
ENSG00000143891,0.2949343,12.639508,small,large,H1ESC
ENSG00000108821,0.62924075,2.1897302,small,mid,H1ESC
ENSG00000180720,0.24052107,1.7042912,small,mid,H1ESC
ENSG00000271614,0.8383783,1.8868352,small,mid,H1ESC
ENSG00000129194,0.7104438,1.3214992,small,mid,H1ESC
ENSG00000082293,0.543591,13.603411,small,large,H1ESC
ENSG00000145246,0.6425075,4.5243063,small,mid,H1ESC
ENSG00000269720,0.2093356,0.98209,small,mid,H1ESC
ENSG00000172575,0.5693806,4.324171,small,mid,H1ESC
ENSG00000033170,0.36106205,1.6622672,small,mid,H1ESC
ENSG00000198363,0.8279005,2.2809572,small,mid,H1ESC
ENSG00000176928,0.5604269,6.902277,small,mid,H1ESC
ENSG00000142733,0.7837728,2.4732819,small,mid,H1ESC
ENSG00000167483,0.41803932,2.6885147,small,mid,H1ESC
ENSG00000168675,0.36073688,4.5671673,small,mid,H1ESC
ENSG00000136936,0.21887451,2.8043149,small,mid,H1ESC
ENSG00000259712,0.26494497,8.292984,small,large,H1ESC
ENSG00000275074,0.27744895,7.6490674,small,large,H1ESC
ENSG00000183011,0.3461053,7.5764866,small,large,H1ESC
ENSG00000112561,0.69144803,7.8151135,small,large,H1ESC
ENSG00000186976,0.53936476,3.440771,small,mid,H1ESC
ENSG00000247287,0.53213793,38.604954,small,large,H1ESC
ENSG00000205056,0.3548883,34.38053,small,large,H1ESC
ENSG00000169413,0.68841845,2.0204673,small,mid,H1ESC
ENSG00000128564,0.99285424,8.341067,small,large,H1ESC
ENSG00000234745,0.38620168,2.28343,small,mid,H1ESC
ENSG00000020633,0.29870576,6.748918,small,large,H1ESC
ENSG00000229839,0.78806436,10.288983,small,large,H1ESC
ENSG00000272269,0.68066216,3.5101264,small,mid,H1ESC
ENSG00000200156,0.4183252,3.5121133,small,mid,H1ESC
ENSG00000279570,0.811988,1.290506,small,mid,H1ESC
ENSG00000165914,0.25125617,6.121525,small,large,H1ESC
ENSG00000113441,0.3644693,14.416758,small,large,H1ESC
ENSG00000259345,0.46897483,18.53153,small,large,H1ESC
ENSG00000196092,0.2765351,7.4642224,small,large,H1ESC
ENSG00000215183,0.26052907,2.6010635,small,mid,H1ESC
ENSG00000140853,0.27986258,8.723483,small,large,H1ESC
ENSG00000259479,0.8228098,8.020032,small,large,H1ESC
ENSG00000246792,0.38018456,16.695274,small,large,H1ESC
ENSG00000100628,0.6390719,3.914787,small,mid,H1ESC
ENSG00000118407,0.7984085,9.27538,small,large,H1ESC
ENSG00000084070,0.52226275,2.28036,small,mid,H1ESC
ENSG00000103160,0.36182895,7.6818476,small,large,H1ESC
ENSG00000175567,0.33558056,3.5661368,small,mid,H1ESC
ENSG00000142449,0.8058719,1.533056,small,mid,H1ESC
ENSG00000232124,0.22258377,3.5051403,small,mid,H1ESC
ENSG00000139193,0.2329672,6.309795,small,large,H1ESC
ENSG00000163517,0.8128508,6.8121886,small,large,H1ESC
ENSG00000137843,0.29613152,1.3548245,small,mid,H1ESC
ENSG00000251002,0.7787551,13.707775,small,large,H1ESC
ENSG00000095383,0.7043138,9.782766,small,large,H1ESC
ENSG00000059915,0.6777283,3.04063,small,mid,H1ESC
ENSG00000205683,0.7082503,2.3191853,small,mid,H1ESC
ENSG00000127124,0.38738215,18.257214,small,large,H1ESC
ENSG00000078900,0.49906194,6.132248,small,large,H1ESC
ENSG00000250519,0.49895182,2.0505335,small,mid,H1ESC
ENSG00000187688,0.49570572,3.3488178,small,mid,H1ESC
ENSG00000198399,0.4201858,9.958363,small,large,H1ESC
ENSG00000178233,0.9178524,2.9824402,small,mid,H1ESC
ENSG00000134324,0.8611948,1.4458913,small,mid,H1ESC
ENSG00000258561,0.40295747,4.0948324,small,mid,H1ESC
ENSG00000224557,0.50285554,2.86221,small,mid,H1ESC
ENSG00000136048,0.29725793,11.6345005,small,large,H1ESC
ENSG00000132274,0.5986496,4.774834,small,large,H1ESC
ENSG00000165617,0.39141837,13.206402,small,large,H1ESC
ENSG00000151468,0.35577813,3.713709,small,mid,H1ESC
ENSG00000264739,0.53984773,3.478568,small,mid,H1ESC
ENSG00000124151,0.2880435,8.243605,small,large,H1ESC
ENSG00000100911,0.38297677,2.9401376,small,mid,H1ESC
ENSG00000104894,0.43976924,1.8857433,small,mid,H1ESC
ENSG00000167323,0.63974744,4.7727747,small,large,H1ESC
ENSG00000078401,0.25440928,1.9077338,small,mid,H1ESC
ENSG00000259003,0.1691696,2.142047,small,mid,H1ESC
ENSG00000213462,0.25658435,61.46633,small,large,HFFC6
ENSG00000023445,0.8019591,9.084601,small,large,HFFC6
ENSG00000112210,0.5476854,5.7915287,small,mid,HFFC6
ENSG00000169504,0.80325997,4.4455924,small,mid,HFFC6
ENSG00000168389,0.43382537,5.6746254,small,large,HFFC6
ENSG00000182718,1.05984,2.2223177,small,mid,HFFC6
ENSG00000140950,0.32441843,6.6614985,small,large,HFFC6
ENSG00000267278,0.3560054,6.7262526,small,large,HFFC6
ENSG00000173898,0.2781931,11.34848,small,large,HFFC6
ENSG00000280332,0.71105516,5.716804,small,large,HFFC6
ENSG00000105464,0.6991102,2.7483368,small,mid,HFFC6
ENSG00000139971,0.46859795,2.5309556,small,mid,HFFC6
ENSG00000230747,0.4443516,13.751555,small,large,HFFC6
ENSG00000171105,0.29911458,10.962305,small,large,HFFC6
ENSG00000228878,0.38070342,3.597387,small,mid,HFFC6
ENSG00000074370,0.4150259,11.900373,small,large,HFFC6
ENSG00000147485,0.92136407,6.007221,small,mid,HFFC6
ENSG00000164236,0.6816305,3.2805827,small,mid,HFFC6
ENSG00000139112,0.40094236,8.512504,small,large,HFFC6
ENSG00000082805,0.31393227,5.942074,small,large,HFFC6
ENSG00000160746,0.9113775,4.266182,small,mid,HFFC6
ENSG00000129535,0.25528073,3.076801,small,mid,HFFC6
ENSG00000103037,0.6492117,2.9020517,small,mid,HFFC6
ENSG00000176533,0.35463133,11.480978,small,large,HFFC6
ENSG00000181826,0.55722886,4.856073,small,mid,HFFC6
ENSG00000258875,0.2678872,2.356553,small,mid,HFFC6
ENSG00000196517,0.57699496,3.0104754,small,mid,HFFC6
ENSG00000138593,0.29591647,8.390914,small,large,HFFC6
ENSG00000159023,0.216693,1.9291644,small,mid,HFFC6
ENSG00000129173,0.28918052,4.3819485,small,mid,HFFC6
ENSG00000170275,0.5125065,7.9278398,small,large,HFFC6
ENSG00000140030,0.3797517,3.9007816,small,mid,HFFC6
ENSG00000285744,0.26030904,13.180221,small,large,HFFC6
ENSG00000048462,0.86743516,4.0331974,small,mid,HFFC6
ENSG00000012124,0.8053025,10.860534,small,large,HFFC6
ENSG00000174738,0.53241515,13.460454,small,large,HFFC6
ENSG00000204475,0.98134154,3.6441424,small,mid,HFFC6
ENSG00000100297,0.59505415,9.676043,small,large,HFFC6
ENSG00000151883,0.011212635,27.300522,small,large,HFFC6
ENSG00000138346,0.2901837,8.245995,small,large,HFFC6
ENSG00000183486,0.73250335,15.979492,small,large,HFFC6
ENSG00000117226,0.38126,8.245252,small,large,HFFC6
ENSG00000176014,0.39599216,4.2188582,small,mid,HFFC6
ENSG00000108984,0.22528735,12.087971,small,large,HFFC6
ENSG00000123159,0.7158472,6.2335124,small,large,HFFC6
ENSG00000198885,0.44629398,14.219477,small,large,HFFC6
ENSG00000107736,0.43330368,4.3384414,small,mid,HFFC6
ENSG00000108960,0.59041387,3.1096401,small,mid,HFFC6
ENSG00000254936,0.51619416,19.976149,small,large,HFFC6
ENSG00000263004,0.64093834,17.01975,small,large,HFFC6
ENSG00000109107,0.5694307,8.960382,small,large,HFFC6
ENSG00000166548,0.46780562,9.116093,small,large,HFFC6
ENSG00000267040,0.27679127,2.843479,small,mid,HFFC6
ENSG00000049245,0.37512457,7.33645,small,large,HFFC6
ENSG00000228113,0.66176695,22.866507,small,large,HFFC6
ENSG00000170677,0.23748644,9.195902,small,large,HFFC6
ENSG00000100292,0.58472914,9.742059,small,large,HFFC6
ENSG00000181104,0.6276144,2.8760364,small,mid,HFFC6
ENSG00000100934,0.72319984,12.213785,small,large,HFFC6
ENSG00000249850,0.4581884,4.1341643,small,mid,HFFC6
ENSG00000105376,0.2974892,4.89996,small,mid,HFFC6
ENSG00000138621,0.43304786,2.3191636,small,mid,HFFC6
ENSG00000225830,0.46345165,2.1842394,small,mid,HFFC6
ENSG00000157570,0.9096357,12.115724,small,large,HFFC6
ENSG00000182183,0.87503606,7.886179,small,large,HFFC6
ENSG00000263412,0.45568046,3.1573586,small,mid,HFFC6
ENSG00000197279,0.49132866,5.816836,small,mid,HFFC6
ENSG00000135439,0.5802091,7.4464817,small,large,HFFC6
ENSG00000114861,0.70242065,4.332539,small,mid,HFFC6
ENSG00000261448,0.19309337,12.624395,small,large,HFFC6
ENSG00000161929,0.99499476,3.1331506,small,mid,HFFC6
ENSG00000251364,0.5466045,2.446989,small,mid,HFFC6
ENSG00000229097,0.55490655,6.806763,small,large,HFFC6
ENSG00000185862,1.0974919,3.6694088,small,mid,HFFC6
ENSG00000010704,0.63054585,6.823998,small,mid,HFFC6
ENSG00000279369,0.376585,10.316914,small,large,HFFC6
ENSG00000139116,0.3502259,143.70197,small,large,HFFC6
ENSG00000179604,0.6409743,4.317746,small,mid,HFFC6
ENSG00000068001,0.4300923,3.4211128,small,mid,HFFC6
ENSG00000168374,0.3352083,25.853714,small,large,HFFC6
ENSG00000285844,0.8896021,4.326539,small,mid,HFFC6
ENSG00000281103,0.33214915,7.6117854,small,mid,HFFC6
ENSG00000076554,0.67513776,6.79041,small,mid,HFFC6
ENSG00000224875,0.3043511,7.1278505,small,mid,HFFC6
ENSG00000010278,0.42423463,2.107584,small,mid,HFFC6
ENSG00000247982,0.31335625,2.3536527,small,mid,HFFC6
ENSG00000134107,0.5075239,3.8614662,small,mid,HFFC6
ENSG00000159314,1.0230228,3.4126508,small,mid,HFFC6
ENSG00000278829,0.34409785,2.7248611,small,mid,HFFC6
ENSG00000163110,0.2627371,8.855937,small,large,HFFC6
ENSG00000100784,0.433598,12.627216,small,large,HFFC6
ENSG00000183255,0.7285666,7.892098,small,large,HFFC6
ENSG00000138821,0.47970307,9.420963,small,large,HFFC6
ENSG00000148634,0.22756353,2.2529457,small,mid,HFFC6
ENSG00000183484,0.8377031,8.445961,small,large,HFFC6
