,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878
ENSG00000245680,12.915323,0.18302876,large,small
ENSG00000132182,7.3738637,1.0425857,mid,small
ENSG00000162997,12.346642,2.293801,mid,small
ENSG00000008277,22.694572,0.9443009,mid,small
ENSG00000072415,6.710872,0.29308808,large,small
ENSG00000162433,11.200667,0.59544504,mid,small
ENSG00000255328,3.2686515,1.1786454,mid,small
ENSG00000170915,8.47792,0.5774988,mid,small
ENSG00000145569,14.458308,3.8222308,mid,small
ENSG00000198805,10.446481,0.27923506,large,small
ENSG00000184602,4.5925546,0.7863127,mid,small
ENSG00000265817,4.753534,0.3949401,mid,small
ENSG00000085840,11.851969,1.9220223,mid,small
ENSG00000258760,3.8490098,0.27860215,mid,small
ENSG00000151327,3.4923754,0.42203182,mid,small
ENSG00000275410,9.795489,0.90099627,large,small
ENSG00000064225,17.1388,3.1435082,mid,small
ENSG00000167723,8.66919,0.09814462,large,small
ENSG00000125505,6.1027727,0.41748714,large,small
ENSG00000140451,6.189599,0.7863882,large,small
ENSG00000245479,2.3922005,0.23457077,mid,small
ENSG00000187510,36.388214,0.32895988,large,small
ENSG00000085063,2.8719425,0.6841278,mid,small
ENSG00000268889,2.2869606,0.48475337,mid,small
ENSG00000261251,7.1709595,0.53936476,large,small
ENSG00000205045,3.6942332,0.6414601,mid,small
ENSG00000012124,10.860534,0.8053025,large,small
ENSG00000174738,13.460454,0.53241515,mid,small
ENSG00000162692,17.35819,3.0264404,mid,small
ENSG00000231304,11.201733,3.369459,mid,small
ENSG00000171608,7.566264,1.0205323,mid,small
ENSG00000285744,13.180221,0.26030904,mid,small
ENSG00000170275,7.9278398,0.5125065,mid,small
ENSG00000048462,4.0331974,0.86743516,mid,small
ENSG00000140030,3.8662934,0.3797517,mid,small
ENSG00000246263,10.716544,1.2491925,mid,small
ENSG00000100297,8.977058,0.59505415,large,small
ENSG00000133740,13.7748165,0.42767417,mid,small
ENSG00000141293,7.9083586,0.7404272,large,small
ENSG00000284428,11.102264,0.023080014,large,small
ENSG00000151491,7.422026,0.4648324,mid,small
ENSG00000140379,5.7510424,0.49588868,large,small
ENSG00000108984,12.087971,0.22528735,large,small
ENSG00000136048,4.2425084,0.29725793,mid,small
ENSG00000116771,17.805536,1.1719917,mid,small
ENSG00000151883,27.300522,0.011212635,mid,small
ENSG00000123159,5.6245794,0.7158472,large,small
ENSG00000254936,19.976149,0.51619416,large,small
ENSG00000117226,8.245252,0.38126,mid,small
ENSG00000108960,3.1096401,0.59041387,mid,small
ENSG00000183486,15.979492,0.73250335,large,small
ENSG00000176014,4.2188582,0.39599216,mid,small
ENSG00000138346,8.245995,0.2901837,mid,small
ENSG00000107736,3.8055148,0.38527635,mid,small
ENSG00000263004,16.820032,0.5191532,large,small
ENSG00000249274,8.22311,1.3098557,mid,small
ENSG00000236352,2.1134448,0.35122204,mid,small
ENSG00000163666,12.181555,0.25352228,mid,small
ENSG00000062822,6.0030394,0.40221435,large,small
ENSG00000221963,4.5402384,0.3605738,mid,small
ENSG00000100292,8.852784,0.58472914,large,small
ENSG00000105376,4.89996,0.27335942,mid,small
ENSG00000100934,12.213785,0.72319984,large,small
ENSG00000182732,13.698106,0.86079794,large,small
ENSG00000109107,8.756676,0.5136116,large,small
ENSG00000228113,22.866507,0.66176695,mid,small
ENSG00000170677,9.195902,0.23748644,large,small
ENSG00000166548,9.084892,0.45890212,large,small
ENSG00000267040,2.7017639,0.25313485,mid,small
ENSG00000049245,7.33645,0.37512457,mid,small
ENSG00000180488,12.870474,2.3237646,mid,small
ENSG00000272578,11.868786,0.25592682,large,small
ENSG00000261008,24.261875,0.30844206,large,small
ENSG00000229955,10.850103,0.9081623,large,small
ENSG00000140945,3.1001432,0.8000944,mid,small
ENSG00000104497,27.708511,0.3696969,large,small
ENSG00000070081,2.8114948,0.28668386,mid,small
ENSG00000262943,4.2365446,0.30940804,mid,small
ENSG00000105639,2.627198,0.35762557,mid,small
ENSG00000240527,7.7595615,0.2499688,mid,small
ENSG00000138621,2.2733397,0.43304786,mid,small
ENSG00000069020,32.125217,3.6852503,mid,small
ENSG00000182183,7.886179,0.87503606,mid,small
ENSG00000157570,12.115724,0.8913153,large,small
ENSG00000197279,5.667705,0.49132866,mid,small
ENSG00000100417,2.9821382,0.21000405,mid,small
ENSG00000128274,5.584462,0.5121544,mid,small
ENSG00000285816,6.3974867,0.16705385,mid,small
ENSG00000174718,14.93536,0.3648392,large,small
ENSG00000183023,13.605117,1.2254971,mid,small
ENSG00000107816,2.5195844,0.26716542,mid,small
ENSG00000236924,7.3231225,0.3418695,mid,small
ENSG00000152926,23.084848,0.25658435,mid,small
ENSG00000255949,8.929669,0.5842843,large,small
ENSG00000140443,2.4117498,0.39183927,mid,small
ENSG00000162924,15.187686,0.33687,mid,small
ENSG00000072110,4.0143514,0.4035432,mid,small
ENSG00000255733,5.588747,0.9171379,mid,small
ENSG00000187091,7.6416693,1.7198807,mid,small
ENSG00000128815,4.0322304,0.51904255,mid,small
ENSG00000123091,7.0292034,3.1084487,mid,small
ENSG00000139146,14.118911,0.7201964,large,small
ENSG00000112679,18.478819,1.6355709,mid,small
ENSG00000164220,8.892017,7.0085907,mid,small
ENSG00000263235,8.931565,0.61144745,large,small
ENSG00000228903,9.803178,1.6652808,mid,small
ENSG00000110944,6.4597435,0.53603286,mid,small
ENSG00000152465,8.4532795,0.5320418,mid,small
ENSG00000166130,3.2212777,1.6192578,mid,small
ENSG00000280007,7.3499184,0.43537158,large,small
ENSG00000128340,5.3599305,0.7978929,mid,small
ENSG00000188559,21.196877,0.58419,large,small
ENSG00000100911,5.7798223,0.3716451,large,small
ENSG00000172638,3.311626,0.7027243,mid,small
ENSG00000198363,5.90878,0.8279005,mid,small
ENSG00000107537,2.6406689,1.1214653,mid,small
ENSG00000249655,10.193721,6.1709,mid,small
ENSG00000169435,7.572322,0.4198355,mid,small
ENSG00000140511,1.8655833,0.62493527,mid,small
ENSG00000278231,12.338773,0.72455096,large,small
ENSG00000163644,11.485305,1.297437,mid,small
ENSG00000254206,12.561119,0.37523192,large,small
ENSG00000175322,34.548817,0.21708965,large,small
ENSG00000135605,14.273834,0.4175005,mid,small
ENSG00000204642,7.275324,1.0376034,mid,small
ENSG00000252690,16.928204,0.7281646,large,small
ENSG00000176105,5.629152,0.39322707,mid,small
ENSG00000251002,11.510124,0.7787551,large,small
ENSG00000273151,5.440591,0.5427054,mid,small
ENSG00000230155,7.809751,0.4957143,large,small
ENSG00000179361,10.084,0.32452598,large,small
ENSG00000130402,2.6068835,0.33034256,mid,small
ENSG00000023445,9.062494,0.8019591,large,small
ENSG00000092929,6.293841,0.9291466,large,small
ENSG00000163219,8.891387,3.2087264,mid,small
ENSG00000253250,7.870058,0.3543758,mid,small
ENSG00000164713,9.758771,0.8934009,mid,small
ENSG00000068912,39.002144,0.9243897,mid,small
ENSG00000103042,2.7048535,0.2262846,mid,small
ENSG00000139971,2.5309556,0.30042607,mid,small
ENSG00000074370,11.846083,0.4150259,large,small
ENSG00000182718,2.2223177,1.0403743,mid,small
ENSG00000140950,6.6614985,0.32441843,large,small
ENSG00000254777,23.671995,0.19198085,large,small
ENSG00000267278,6.0308886,0.3222809,mid,small
ENSG00000280332,5.716804,0.71105516,large,small
ENSG00000111348,3.0338044,1.3217506,mid,small
ENSG00000135426,4.4602604,0.5422334,mid,small
ENSG00000171105,10.530545,0.29911458,large,small
ENSG00000100055,5.5202236,0.6039763,mid,small
ENSG00000173898,11.17268,0.2781931,large,small
ENSG00000179583,8.614362,0.90821207,large,small
ENSG00000183785,9.699406,0.048696198,large,small
ENSG00000167642,2.2059193,0.43993938,mid,small
ENSG00000168807,4.035937,0.3067781,mid,small
ENSG00000196092,7.0134673,0.25079358,mid,small
ENSG00000235499,8.657127,0.51389414,mid,small
ENSG00000187605,8.657127,0.51389414,mid,small
ENSG00000260671,8.158906,0.4323145,large,small
ENSG00000225519,6.0217133,0.713561,mid,small
ENSG00000105963,11.150749,1.7320912,mid,small
ENSG00000139192,4.302861,0.2067371,mid,small
ENSG00000176533,11.246206,0.35463133,large,small
ENSG00000139112,8.512504,0.40094236,mid,small
ENSG00000129535,3.0075588,0.23668398,mid,small
ENSG00000147485,6.007221,0.92136407,mid,small
ENSG00000108669,5.8414974,0.88828117,mid,small
ENSG00000082805,5.942074,0.30550244,mid,small
ENSG00000237883,9.047279,1.2183003,mid,small
ENSG00000135299,14.477479,1.2233449,mid,small
ENSG00000156050,1.6704919,0.5845543,mid,small
ENSG00000166387,2.4328756,0.5268339,mid,small
ENSG00000196684,7.8735943,0.7708783,large,small
ENSG00000121797,9.428818,3.7600436,mid,small
ENSG00000183049,15.9063015,0.30727074,large,small
ENSG00000126458,6.742154,0.41129375,large,small
ENSG00000258875,2.356553,0.23552296,mid,small
ENSG00000179163,11.415109,1.0197101,mid,small
ENSG00000138593,8.390914,0.29591647,large,small
ENSG00000072818,6.1679006,0.39744553,large,small
ENSG00000136842,9.2022,0.4359097,mid,small
ENSG00000170421,6.091359,0.68008846,mid,small
ENSG00000253214,14.498177,0.5681415,mid,small
ENSG00000131979,13.790289,0.23475565,large,small
ENSG00000166582,2.4642885,0.85024714,mid,small
ENSG00000136738,5.2559986,0.8790637,mid,small
ENSG00000205269,11.163669,0.4250479,mid,small
ENSG00000146192,7.1693816,0.627339,mid,small
ENSG00000104432,13.180221,0.26030904,mid,small
ENSG00000100351,5.7366815,0.4681507,large,small
ENSG00000150995,10.732571,0.25930363,mid,small
ENSG00000056736,8.807383,0.78180295,mid,small
ENSG00000214212,6.906758,0.76072955,large,small
ENSG00000196730,18.928417,0.34789085,mid,small
ENSG00000138758,7.559688,0.37684384,mid,small
ENSG00000234883,11.069089,0.75471056,large,small
ENSG00000137960,16.347778,1.2397963,mid,small
ENSG00000129173,4.3819485,0.28918052,mid,small
ENSG00000254995,2.4348435,0.36760437,mid,small
ENSG00000269609,7.51972,0.4975275,mid,small
ENSG00000231671,6.9400496,3.2455943,mid,small
ENSG00000271503,9.235159,0.28664783,large,small
ENSG00000136305,1.562179,0.91643655,mid,small
ENSG00000163517,9.429666,0.8023257,mid,small
ENSG00000151062,5.771441,1.7444795,mid,small
ENSG00000205786,12.1328335,0.42736068,large,small
ENSG00000279570,4.168131,0.811988,mid,small
ENSG00000135404,3.9800913,0.77017844,mid,small
ENSG00000156869,7.412255,0.6053902,mid,small
ENSG00000229474,2.2706852,0.7652451,mid,small
ENSG00000119900,8.707744,0.49281064,mid,small
ENSG00000011405,2.5366561,0.27971774,mid,small
ENSG00000116005,11.019983,0.2218006,mid,small
ENSG00000156398,2.6449523,0.23342124,mid,small
ENSG00000118596,9.679348,0.39281332,mid,small
ENSG00000167483,7.6789265,0.41803932,large,small
ENSG00000127561,2.988925,0.43512917,mid,small
ENSG00000154655,4.3925047,0.19938934,mid,small
ENSG00000232104,12.8833475,0.68541217,mid,small
ENSG00000235978,11.348458,0.4063969,mid,small
ENSG00000185697,11.091962,0.33407882,mid,small
ENSG00000100600,7.578578,0.6024274,large,small
ENSG00000273045,15.704818,0.35890636,mid,small
ENSG00000107242,21.032461,1.1061171,mid,small
ENSG00000233080,14.851114,0.95352346,large,small
ENSG00000186451,10.6844425,2.3890483,mid,small
ENSG00000211455,9.972031,0.94781345,mid,small
ENSG00000198561,6.576358,0.66950953,mid,small
ENSG00000252391,2.9138403,0.24858673,mid,small
ENSG00000262663,4.4191194,0.32600582,mid,small
ENSG00000132589,2.5050325,0.71695447,mid,small
ENSG00000076641,13.943496,0.8647403,mid,small
ENSG00000225528,8.512951,0.293386,large,small
ENSG00000163376,7.4052496,0.3501391,mid,small
ENSG00000154359,15.78279,1.4487919,mid,small
ENSG00000263412,3.1573586,0.45568046,mid,small
ENSG00000284882,6.9631124,0.4374394,mid,small
ENSG00000076826,8.856528,0.23424327,large,small
ENSG00000226950,18.513666,0.9336309,mid,small
ENSG00000271554,14.118952,2.5289178,mid,small
ENSG00000178445,7.3231225,0.3418695,mid,small
ENSG00000255693,3.455383,0.5758735,mid,small
ENSG00000213613,2.6585007,0.66193056,mid,small
ENSG00000163694,16.399925,2.1218078,mid,small
ENSG00000260589,5.517536,0.8790637,mid,small
ENSG00000206503,6.448285,0.28977275,mid,small
ENSG00000104361,9.436847,0.21488066,mid,small
ENSG00000108187,7.722287,0.7525611,mid,small
ENSG00000145703,23.736822,1.8374463,mid,small
ENSG00000089639,2.0510824,0.7690087,mid,small
ENSG00000229097,5.997805,0.54024976,mid,small
ENSG00000010704,5.9794416,0.63054585,mid,small
ENSG00000279369,10.316914,0.35634112,large,small
ENSG00000200502,9.779125,0.8528608,mid,small
ENSG00000135439,6.474056,0.57293195,mid,small
ENSG00000197467,3.9983652,0.37149012,mid,small
ENSG00000261448,12.624395,0.19309337,large,small
ENSG00000005471,25.129536,1.6409079,mid,small
ENSG00000276231,7.956873,1.0608972,large,small
ENSG00000251364,2.4328756,0.5268339,mid,small
ENSG00000161929,3.1331506,0.9739673,mid,small
ENSG00000128203,9.286276,0.37271118,large,small
ENSG00000282989,18.699165,0.17492348,mid,small
ENSG00000229839,13.420474,0.78806436,mid,small
ENSG00000102908,6.888509,0.7123298,large,small
ENSG00000164985,12.102715,0.4635014,mid,small
ENSG00000175265,14.3337145,0.21424094,large,small
ENSG00000237624,6.550579,1.7339063,mid,small
ENSG00000125657,4.541673,0.49286354,mid,small
ENSG00000187764,21.64446,2.0729363,mid,small
ENSG00000179604,4.2275453,0.28053868,mid,small
ENSG00000281103,7.6117854,0.20062397,mid,small
ENSG00000139116,6.3801312,0.3502259,mid,small
ENSG00000205056,12.3443165,0.3548883,large,small
ENSG00000177842,18.459248,0.23742875,mid,small
ENSG00000168374,25.541328,0.3195891,mid,small
ENSG00000214050,14.08888,1.0704422,mid,small
ENSG00000205268,23.519909,0.7774047,large,small
ENSG00000175779,12.96447,0.36491188,large,small
ENSG00000100580,9.520954,0.59593207,large,small
ENSG00000232907,7.448012,0.39818835,large,small
ENSG00000071073,16.789354,2.862779,mid,small
ENSG00000110315,2.6409538,0.25425655,mid,small
ENSG00000213390,5.8688936,0.4833826,mid,small
ENSG00000007944,9.187255,1.2015389,mid,small
ENSG00000278829,2.7248611,0.34409785,mid,small
ENSG00000076554,6.79041,0.67513776,mid,small
ENSG00000121895,12.11668,1.2596908,mid,small
ENSG00000247982,2.3536527,0.31335625,mid,small
ENSG00000101336,5.0288734,0.8551072,mid,small
ENSG00000115902,8.542935,2.0003402,mid,small
ENSG00000163110,8.855937,0.2627371,mid,small
ENSG00000020633,9.524065,0.29543507,mid,small
